Name,Category,Price,Description,InStock
אוזניות אלחוטיות TY-200,אוזניות,349,"מקט TY-HP-200. אוזניות על-אוזניות עם סינון רעשים אקטיבי, לעבודה ולנסיעות. מפרט: דרייברים דינמיים 40 מ""מ; סינון רעשים אקטיבי (ANC) עד 32dB + מצב שקיפות; בלוטות' 5.3, חיבור לשני מכשירים במקביל (multipoint); עד 30 שעות עם ANC, עד 45 שעות בלי; טעינה מלאה 2 שעות, טעינה מהירה 10 דקות ל-4 שעות; חיבור USB-C לטעינה + כבל 3.5 מ""מ לשימוש פסיבי; מיקרופון כפול להפחתת רעש בשיחות; משקל 268 גרם, כריות זיכרון, מתקפל; צבעים: שחור, אפור בזלת. באריזה: אוזניות, נרתיק קשיח, כבל USB-C, כבל אודיו 3.5 מ""מ, מתאם טיסה. אחריות: 12 חודשים. מתאים ל: עבודה במשרד פתוח, טיסות, לימודים בספרייה.",checked
אוזניות תוך-אוזן TY-Buds Pro,אוזניות,289,"מקט TY-EB-300. אוזניות אלחוטיות אמיתיות עם ANC ונרתיק טעינה. מפרט: דרייברים 11 מ""מ, קודקים SBC/AAC; סינון רעשים אקטיבי + מצב שקיפות; בלוטות' 5.3, זיהוי הוצאה מהאוזן (עצירה אוטומטית); 8 שעות באוזניות, 32 שעות עם הנרתיק; עמידות למים ולזיעה IPX5 (האוזניות בלבד); טעינת USB-C, אין טעינה אלחוטית; בקרת מגע להשתקה, מעבר שירים ומענה לשיחות; 3 גדלי פקקי סיליקון בקופסה. באריזה: אוזניות, נרתיק טעינה, 3 זוגות פקקים (S/M/L), כבל USB-C. אחריות: 12 חודשים. מתאים ל: ריצה, נסיעות ברכבת, שיחות בדרכים. שימו לב: אוזניות תוך-אוזן שנפתחו אינן ניתנות להחזרה.",checked
אוזניות גיימינג TY-Gamer H7,אוזניות,429,"מקט TY-GH-700. אוזניות גיימינג אלחוטיות 2.4GHz עם מיקרופון נשלף. מפרט: דרייברים 50 מ""מ, סאונד מרחבי וירטואלי 7.1 בתוכנה; חיבור כפול: דונגל 2.4GHz בהשהיה נמוכה + בלוטות' 5.2; עד 45 שעות ללא תאורה, 22 שעות עם; מיקרופון נשלף עם סינון רעשים והשתקה בהרמה; גלגל ווליום פיזי בגוף האוזנייה; תואם PC, PlayStation, Nintendo Switch. ב-Xbox — בכבל בלבד; משקל 340 גרם, כריות בד נושמות. באריזה: אוזניות, דונגל USB-A, מיקרופון נשלף, כבל USB-C, מתאם USB-C. אחריות: 12 חודשים. מתאים ל: גיימינג, שידורים, שיחות ארוכות.",checked
רמקול בלוטות' TY-Sound Mini,רמקולים,179,"מקט TY-SP-100. רמקול נייד עמיד למים, לטיולים ולמקלחת. מפרט: הספק 10W RMS, דרייבר יחיד + שני רדיאטורים פסיביים; בלוטות' 5.1, טווח עד 10 מטר; עמידות מים ואבק IP67 — צף במים; עד 12 שעות בעוצמה בינונית; חיבור זוגי TWS לשני רמקולים לסטריאו; כניסת AUX 3.5 מ""מ, טעינת USB-C; רצועת נשיאה, משקל 420 גרם. באריזה: רמקול, כבל USB-C, רצועת נשיאה. אחריות: 12 חודשים. מתאים ל: חוף, מקלחת, פיקניק, חדר עבודה קטן.",checked
סאונדבר TY-Sound Bar 2.1,רמקולים,749,"מקט TY-SB-210. סאונדבר עם סאבוופר אלחוטי לטלוויזיה ולעמדת מחשב. מפרט: הספק כולל 120W (סאונדבר 60W + סאב 60W); סאבוופר אלחוטי 6.5 אינץ', מתחבר אוטומטית; חיבורים: HDMI ARC, אופטי, AUX, USB, בלוטות' 5.0; 3 מצבי סאונד: סרט, מוזיקה, קול; אורך 90 ס""מ, מתאים למסכים מ-43 אינץ'; שלט רחוק כלול, תלייה על הקיר אפשרית; אין תמיכה ב-Dolby Atmos. באריזה: סאונדבר, סאבוופר, שלט + סוללות, כבל HDMI, כבל אופטי, ערכת תלייה. אחריות: 12 חודשים. מתאים ל: סלון, חדר עבודה, עמדת גיימינג. מוצר כבד — משלוח 69 ₪ בתיאום.",checked
מסך 27 אינץ' TY-Vision QHD 165Hz,מסכים,1290,"מקט TY-MN-27Q. מסך IPS ברזולוציית QHD לעבודה ולגיימינג. מפרט: פאנל IPS 27 אינץ', 2560×1440, 165Hz; זמן תגובה 1ms MPRT, תמיכה ב-Adaptive Sync; בהירות 350 ניט, ניגודיות 1000:1, HDR10; כיסוי צבע 99% sRGB — מתאים לעבודות עיצוב בסיסיות; חיבורים: 2×HDMI 2.0, 1×DisplayPort 1.4, יציאת אוזניות; רמקולים מובנים 2×3W (בסיסיים); מעמד עם כיוון גובה, הטיה וסיבוב; VESA 100×100; ללא הבהוב, מסנן אור כחול. באריזה: מסך, מעמד, כבל HDMI, כבל DisplayPort, ספק כח. אחריות: 24 חודשים. מתאים ל: עמדת עבודה, פיתוח, גיימינג בינוני-גבוה.",checked
מסך 24 אינץ' TY-Vision FHD 100Hz,מסכים,690,"מקט TY-MN-24F. מסך משרדי שקט ונוח לעיניים. מפרט: פאנל IPS 23.8 אינץ', 1920×1080, 100Hz; זמן תגובה 5ms, בהירות 250 ניט; כיסוי 95% sRGB; חיבורים: HDMI 1.4, DisplayPort 1.2, VGA; מעמד עם הטיה בלבד (בלי כיוון גובה); VESA 100×100; צריכת חשמל נמוכה, 18W בשימוש רגיל. באריזה: מסך, מעמד, כבל HDMI, ספק כח. אחריות: 24 חודשים. מתאים ל: עבודה משרדית, לימודים, מסך שני.",checked
מסך אולטרה-רחב 34 אינץ' TY-Vision UW,מסכים,2490,"מקט TY-MN-34U. מסך קעור 21:9 עם USB-C והזנת חשמל ללפטופ. מפרט: פאנל VA קעור 34 אינץ' (1500R), 3440×1440, 144Hz; בהירות 400 ניט, ניגודיות 3000:1, HDR400; USB-C עם הזנת חשמל 65W — מסך אחד ללפטופ במקום עגינה; KVM מובנה: מקלדת ועכבר אחד לשני מחשבים; חיבורים: 2×HDMI 2.0, DisplayPort 1.4, USB-C, 2×USB-A, RJ45; מצב Picture-by-Picture לשני מקורות; מעמד עם כיוון גובה; VESA 100×100. באריזה: מסך, מעמד, כבל USB-C, כבל DisplayPort, ספק כח. אחריות: 24 חודשים. מתאים ל: עבודה עם חלונות מרובים, עריכת וידאו, טרייד. אזל זמנית — חידוש צפוי תוך 7–14 ימי עסקים.",
מקלדת מכנית TY-Type MX,מקלדות,289,"מקט TY-KB-MX. מקלדת מכנית מלאה בעברית ובאנגלית, עם מפסקים מתחלפים. מפרט: פריסה מלאה 104 מקשים, הדפסה עברית-אנגלית לייזר; מפסקים מכניים אדומים (לינאריים) או כחולים (קליק) — לפי בחירה בחנות; Hot-swap: אפשר להחליף מפסקים בלי הלחמה; תאורת RGB עם 18 אפקטים, נשמרת בזיכרון המקלדת; כבל USB-C נשלף, מארז אלומיניום, משקל 980 גרם; Anti-ghosting מלא, N-key rollover; משטח יד נשלף מגומי. באריזה: מקלדת, כבל USB-C, משטח יד, מסלק מפסקים, 4 מפסקים חלופיים. אחריות: 24 חודשים. מתאים ל: הקלדה מרובה, תכנות, גיימינג. שימו לב: ציפוי המקשים נחשב שחיקה טבעית ואינו באחריות.",checked
מקלדת אלחוטית דקה TY-Slim K2,מקלדות,199,"מקט TY-KB-S2. מקלדת שקטה שמתחברת לשלושה מכשירים. מפרט: פרופיל נמוך, מקשי מספריים, הדפסה עברית-אנגלית; שלושה חיבורים שמורים: בלוטות' ×2 + דונגל 2.4GHz, מעבר בלחיצת מקש; סוללה נטענת, עד 60 יום ללא תאורה; מקשי מדיה וקיצורים למק ולווינדוס; הקלדה שקטה — מתאימה לפתוח-חלל ולשיחות זום; משקל 480 גרם, עובי 16 מ""מ. באריזה: מקלדת, דונגל USB-A, כבל טעינה USB-C. אחריות: 24 חודשים. מתאים ל: לפטופ, טאבלט, עבודה בין שני מחשבים.",checked
